topic,seuil_0.02,checked_topic_count
0_energi_effici_consumpt_save_demand,1732.0,1018
1_climat_chang_temperatur_futur_project,2000.0,1038
2_power_generat_plant_sector_capac,797.0,416
3_vehicl_fleet_car_hybrid_passeng,387.0,227
4_industri_cement_sector_product_process,497.0,301
5_forest_sequestr_wood_sink_stock,314.0,188
6_steel_iron_product_materi_save,105.0,70
7_build_residenti_stock_sector_construct,356.0,180
8_water_resourc_basin_river_irrig,291.0,133
9_air_pollut_pm2_qualiti_health,674.0,252
10_electr_generat_demand_grid_suppli,904.0,471
11_ccs_storag_captur_geolog_plant,251.0,127
12_transport_sector_road_passeng_freight,567.0,298
13_polici_develop_econom_countri_use,4687.0,1324
14_agricultur_food_product_livestock_farm,351.0,188
15_tax_revenu_polici_equilibrium_model,213.0,117
16_heat_pump_district_cool_boiler,272.0,94
17_intens_structur_consumpt_factor_growth,936.0,221
18_scenario_model_bau_refer_three,1428.0,553
19_wind_solar_capac_instal_photovolta,324.0,107
20_cost_abat_option_benefit_margin,761.0,229
21_coal_fire_plant_natur_phase,360.0,126
22_nuclear_plant_power_mix_new,160.0,87
23_fuel_fossil_diesel_altern_biofuel,586.0,157
24_renew_energi_sourc_share_res,540.0,359
25_flood_risk_coastal_sea_disast,284.0,127
26_technolog_advanc_deploy_low_clean,421.0,168
27_biomass_bioenergi_biofuel_residu_wood,345.0,160
28_urban_citi_area_popul_develop,331.0,197
29_hydrogen_cell_chain_produc_product,94.0,60
30_price_et_market_trade_polici,419.0,241
31_drought_precipit_sever_frequenc_index,89.0,39
32_crop_yield_soil_wheat_fertil,302.0,113
33_peak_around_reach_earlier_non,173.0,65
34_oil_product_crude_natur_export,200.0,72
35_land_use_soil_area_chang,420.0,253
36_target_achiev_indc_meet_ndc,706.0,200
37_wast_landfil_solid_municip_treatment,222.0,73
38_system_model_transit_integr_pathway,543.0,339
